,Time,Resistance
unit,second,ohm
0,0.0,3.4619632
1,0.019611096,3.46044672
2,0.039345178,3.45605568
3,0.185492037,3.45596128
4,0.205528611,3.45403104
5,0.225431777,3.45406176
6,0.245207154,3.4535184
7,0.264994397,3.45320224
8,0.284613144,3.45329664
9,0.304339369,3.45279552
10,0.32411599,3.45304608
11,0.343896679,3.45166016
12,0.363663299,3.45210848
13,0.383515148,3.45102144
14,0.403436595,3.45013664
15,0.423368965,3.45053728
16,0.443175161,3.44895488
17,0.462893365,3.44934944
18,0.482687322,3.44940192
19,0.502398886,3.44919968
20,0.522189694,3.4491632
21,0.541757722,3.44872704
22,0.561497497,3.44849472
23,0.581174913,3.44783168
24,0.600977219,3.44777792
25,0.620731283,3.44755712
26,0.640502778,3.44655392
27,0.660329925,3.446584
28,0.680016903,3.4458368
29,0.699790163,3.44535872
30,0.719527388,3.4459136
31,0.739474598,3.44526272
32,0.759371597,3.44476224
33,0.779237436,3.44391936
34,0.799088061,3.4444736
35,0.818963034,3.44389504
36,0.838830043,3.44221696
37,0.858583014,3.44247328
38,0.878564594,3.44239552
39,0.898368686,3.44164448
40,0.918299741,3.44209728
41,0.938177289,3.44149408
42,0.957817648,3.44121376
43,0.977635181,3.44112992
44,0.997463101,3.44016256
45,1.017116859,3.43942816
46,1.036795176,3.43895552
47,1.056582369,3.43930208
48,1.076297916,3.43832832
49,1.096008121,3.4381664
50,1.115647631,3.43807808
51,1.13541111,3.43757632
52,1.280887437,3.43646432
53,1.30073565,3.4364944
54,1.320613704,3.43710944
55,1.340479364,3.4365664
56,1.360180962,3.43610656
57,1.379990759,3.43553952
58,1.399772071,3.43608256
59,1.419426694,3.436656
60,1.439115151,3.43687744
61,1.458989724,3.43683552
62,1.479035603,3.4356336
63,1.499038668,3.43504896
64,1.519125165,3.4358256
65,1.539174936,3.43515712
66,1.55920192,3.43483488
67,1.579222666,3.4347808
68,1.59917439,3.4356336
69,1.619139894,3.43562784
70,1.639254739,3.43639232
71,1.659374651,3.43538976
72,1.679647451,3.43456608
73,1.699738327,3.43517472
74,1.719865785,3.43403392
75,1.739937983,3.4346608
76,1.759909443,3.43463712
77,1.779882223,3.43489856
78,1.799923878,3.43551552
79,1.819939379,3.43458272
80,1.840024007,3.43416608
81,1.860041691,3.4345296
82,1.880208036,3.43348928
83,1.90021714,3.43392
84,1.920222062,3.43417792
85,1.940217874,3.43404032
86,1.960132684,3.43342496
87,1.980172462,3.4330784
88,2.000233053,3.4338192
89,2.02034343,3.43319136
90,2.040396599,3.43369312
91,2.060404908,3.4332512
92,2.080441783,3.43440384
93,2.10053338,3.43378304
94,2.120640997,3.43388992
95,2.14063085,3.43273248
96,2.160540458,3.43455392
97,2.180365542,3.43363904
98,2.200074008,3.43389568
99,2.219762371,3.434184
100,2.239425676,3.43371104
101,2.38549491,3.43387808
