,Time,Resistance
unit,second,ohm
0,0.0,2.28320576
1,0.019550027,2.28049968
2,0.039035705,2.27634256
3,0.058701613,2.2737592
4,0.078390719,2.2731616
5,0.098148116,2.27250384
6,0.117993869,2.27515264
7,0.137755663,2.2765288
8,0.157427682,2.27533296
9,0.177127325,2.2750328
10,0.196883829,2.27526064
11,0.216517047,2.2750328
12,0.23615495,2.27478928
13,0.255689793,2.27466912
14,0.275210201,2.27469904
15,0.420650491,2.2755368
16,0.440263972,2.27447088
17,0.459984223,2.27499696
18,0.479791462,2.27468128
19,0.499473809,2.27426096
20,0.519080356,2.27518304
21,0.538978299,2.2751408
22,0.55880161,2.27546496
23,0.578584828,2.27461504
24,0.598353268,2.27509264
25,0.618165682,2.27542896
26,0.637842433,2.27459696
27,0.657530887,2.27419136
28,0.677347734,2.27447088
29,0.697365224,2.27441712
30,0.717044249,2.27490928
31,0.736872606,2.27377744
32,0.756406156,2.27379536
33,0.775947461,2.27559712
34,0.795674245,2.27398128
35,0.815332093,2.27511104
36,0.834970348,2.27430288
37,0.854758734,2.27500272
38,0.874389396,2.27490928
39,0.893951334,2.27459104
40,0.91371761,2.2755192
41,0.933432843,2.27430288
42,0.953067156,2.27417344
43,0.972698635,2.27483136
44,0.992295528,2.27533888
45,1.011885068,2.2745368
46,1.031533342,2.2748552
47,1.051333216,2.2745192
48,1.07099209,2.27486128
49,1.090672807,2.27426096
50,1.110498044,2.27414368
51,1.130037664,2.27448304
52,1.149687681,2.27411936
53,1.169201581,2.27427296
54,1.188688257,2.27468128
55,1.208333945,2.27480128
56,1.22794163,2.27480704
57,1.247717974,2.2751048
58,1.267260008,2.27420336
59,1.286970263,2.27404144
60,1.306608342,2.27386144
61,1.326150196,2.27507456
62,1.345817868,2.27465696
63,1.365392568,2.27515264
64,1.385203503,2.27339552
65,1.530995515,2.27507456
66,1.550670954,2.27401728
67,1.570095877,2.27518864
68,1.589760015,2.27495712
69,1.609547634,2.27484912
70,1.629287892,2.27450112
71,1.649224572,2.27474688
72,1.669163139,2.27448272
73,1.688949276,2.27427536
74,1.708608802,2.27433904
75,1.728300291,2.27500512
76,1.747922634,2.27423952
77,1.767464422,2.2751408
78,1.786887593,2.27420304
79,1.806395238,2.27411344
80,1.825747194,2.27471088
81,1.845524302,2.27440496
82,1.865147915,2.2742936
83,1.88459084,2.2748192
84,1.903975652,2.27400512
85,1.923577935,2.27448272
86,1.94306302,2.27483104
87,1.962732881,2.2757984
88,1.982475208,2.2740832
89,2.002217332,2.27466912
90,2.021956648,2.27424528
91,2.041480436,2.27422144
92,2.061176004,2.27439904
93,2.080701112,2.27504704
94,2.100203529,2.27457888
95,2.119809812,2.27371104
96,2.13937535,2.2749512
97,2.159180811,2.27429936
98,2.178803077,2.27511072
99,2.19826557,2.27456688
100,2.217895025,2.27468736
101,2.237320294,2.27460912
102,2.256844827,2.2740472
103,2.276281204,2.27328752
104,2.295830362,2.2736752
105,2.315332802,2.2746752
106,2.334864847,2.27415536
107,2.354371293,2.2747352
108,2.373888237,2.27299328
109,2.393309581,2.27369312
110,2.412895794,2.27273152
111,2.432373155,2.27449488
112,2.45184196,2.27393936
113,2.471380569,2.27339904
114,2.617356524,2.2727592
115,2.636834747,2.2729152
116,2.656300444,2.2730536
117,2.675798776,2.2727416
118,2.695482177,2.27249712
