,Time,Resistance
unit,second,ohm
0,0.0,5.0600544
1,0.019677624,5.00156608
2,0.039335383,4.96201024
3,0.059087391,5.0222368
4,0.078908713,5.11590144
5,0.098784733,6.03847808
6,0.118775267,6.7983808
7,0.138629645,6.44540672
8,0.158555767,7.17838016
9,0.178507905,7.41660224
10,0.198255461,7.53124288
11,0.218146811,7.26203072
12,0.238006345,7.5389952
13,0.257923393,7.21109888
14,0.27769912,7.05612672
15,0.297631464,7.18719104
16,0.3175165,6.74140224
17,0.337380707,6.56870848
18,0.357297403,7.28793344
19,0.377210169,7.36483776
20,0.397019891,7.07404288
21,0.416851596,7.37953472
22,0.436521441,6.91270912
23,0.456460671,6.91034176
24,0.476410651,6.680224
25,0.496152096,6.95915712
26,0.516179497,6.9883936
27,0.536065327,6.72773312
28,0.555852708,6.73762112
29,0.575631959,6.53076288
30,0.595495911,6.66886528
31,0.615375905,6.50571776
32,0.635080246,6.83396352
33,0.78066207,7.01912384
34,0.800728225,7.25696576
35,0.820668852,7.48079936
36,0.840588331,7.44110848
37,0.860449436,6.97295232
38,0.88039273,6.70084096
39,0.900243381,6.64376128
40,0.91985014,6.6247936
41,0.939662434,6.60442048
42,0.95951121,6.63006528
43,0.979311251,6.8997792
44,0.999205561,7.26377344
45,1.018822811,7.23889472
46,1.038528201,6.99070912
47,1.058309249,6.89216256
48,1.078259195,6.81882816
49,1.098063251,6.7747872
50,1.117867554,6.74021184
51,1.137936955,6.72420928
52,1.157790409,6.691536
53,1.177607831,6.71411712
54,1.19734716,6.84718336
55,1.216984238,6.81253248
56,1.236534507,6.663344
57,1.256333463,6.60935488
58,1.276158958,6.62580032
59,1.295790866,6.6344
60,1.315552889,6.64976704
61,1.335323453,6.64879872
62,1.355139557,6.91338496
63,1.37498428,6.90211584
64,1.39490231,6.8428064
65,1.414702089,6.79744192
66,1.434383169,6.78617152
67,1.453853418,6.83247552
68,1.473322362,6.71020416
69,1.492709085,6.51104
70,1.512172227,6.4166112
71,1.53176078,6.39677248
72,1.551406738,6.36919104
73,1.570970618,6.36053504
74,1.590566193,6.34105984
75,1.610220576,6.37597312
76,1.629890009,6.75359104
77,1.649444885,7.023856
78,1.669093173,6.9393216
79,1.688705221,6.8872576
80,1.708333673,6.86397888
81,1.72795631,6.88018496
82,2.05953535,7.42387648
83,2.078940235,7.26132032
84,2.098501815,7.14683776
85,2.118066217,6.9654624
86,2.137512165,6.75692608
87,2.156974297,6.69574272
88,2.176472146,6.673152
89,2.196132686,7.39246336
90,2.215627325,7.59558592
91,2.235358032,7.59898368
92,2.254781361,7.12717056
93,2.274490477,6.59860992
94,2.294006479,6.250144
95,2.313490601,6.15452672
96,2.333194465,6.12469312
97,2.352868609,6.07907584
98,2.372604342,6.32414208
99,2.392403261,6.77325504
100,2.412138353,6.6986208
101,2.43165654,6.47717376
102,2.451166229,6.22273216
103,2.470551738,6.1034816
104,2.490108541,6.08832576
105,2.509562882,6.06597376
106,2.529169894,6.07435328
107,2.548739131,6.074368
108,2.568164387,6.0632
109,2.587690952,6.04080064
110,2.607232783,6.02046464
111,2.626688438,6.01419968
112,2.646213531,6.0129248
113,2.665788915,6.01318784
114,2.685220439,6.01140416
115,2.704684535,6.00582848
116,2.724168698,5.99635776
117,2.743574684,5.99385664
118,2.763107496,5.9936768
119,2.782585323,5.99727872
120,2.802069943,6.00145344
121,2.821568322,5.94576576
122,2.967185413,5.94714048
123,2.986680408,5.95198016
124,3.006162707,5.9416928
125,3.025795219,5.91573184
126,3.045255686,5.90463616
127,3.064837181,5.90278144
128,3.084452217,5.90317632
129,3.104086694,5.90187264
130,3.123857841,5.90142848
131,3.143695272,5.90221888
132,3.163562031,5.90084928
133,3.183375302,5.90090304
134,3.202973473,5.89887488
135,3.222592638,5.8992928
136,3.242104121,5.89706432
137,3.261546429,5.89593152
138,3.280979642,5.8941632
139,3.300412352,5.89524416
140,3.319896118,5.89298304
141,3.339482446,5.89694464
142,3.359012993,5.89994624
143,3.378529121,5.89886336
144,3.397955918,5.89683584
145,3.417340711,5.8847424
146,3.436995548,5.88134528
147,3.456525199,5.88019072
148,3.476113459,5.88043456
149,3.495573421,5.88146496
150,3.515251711,5.8855264
151,3.534808285,5.88367808
152,3.554311072,5.88260672
153,3.57377829,5.8748064
154,3.593306824,5.8724512
155,3.612884974,5.8694528
156,3.632422831,5.87014656
157,3.651915292,5.8700448
158,3.671388319,5.86954944
159,3.690896627,5.87158976
160,3.710391213,5.873664
161,3.73000324,5.8741184
162,3.749479359,5.86834752
163,3.769120232,5.86608576
164,3.788585976,5.86408256
165,3.808096196,5.86273088
166,3.827616917,5.86193536
167,3.847176411,5.8623168
168,3.866648903,5.86305856
169,3.88612322,5.865696
170,3.905574114,5.86468608
171,3.924967604,5.86203712
172,4.070316935,5.86302912
173,4.0897384,5.86107392
174,4.109178863,5.858896
175,4.128632355,5.85645632
176,4.148231947,5.85298752
177,4.167672316,5.85477504
178,4.18710155,5.85366976
179,4.20658471,5.85496704
180,4.226114227,5.85522176
181,4.245636123,5.85487616
182,4.265312452,5.85353152
183,4.284840328,5.85169344
184,4.304305804,5.85216768
185,4.323852197,5.85225728
186,4.343284064,5.85198784
187,4.362747578,5.85183104
188,4.382191069,5.85182528
189,4.401578983,5.85181376
190,4.420986624,5.85196928
191,4.440535131,5.85156928
192,4.460051251,5.85250048
193,4.479557985,5.85188544
194,4.499057642,5.85284288
195,4.518484264,5.85128768
196,4.53790548,5.85068352
197,4.557443314,5.84888704
198,4.576878923,5.8489056
199,4.596291544,5.84820032
200,4.615794715,5.8483744
201,4.63534164,5.84905536
202,4.654875535,5.8503904
203,4.674436478,5.84922432
204,4.694042654,5.84820032
205,4.713623573,5.84850624
206,4.733155242,5.84693888
207,4.752764016,5.84733504
208,4.772193708,5.84716096
209,4.791822027,5.84636416
210,4.811383636,5.84631104
211,4.830846785,5.8470528
212,4.850318114,5.84620928
213,4.869856948,5.84584512
214,4.88927013,5.84717248
215,4.908689399,5.8470592
216,4.928194223,5.8470528
217,4.947774518,5.84648512
218,4.967199667,5.84540608
219,4.986677171,5.8458208
220,5.006295839,5.84628032
221,5.025740169,5.84483328
222,5.171561346,5.84488768
223,5.191036248,5.8447072
224,5.210625951,5.8447552
225,5.230136888,5.8436256
226,5.24958084,5.84448768
227,5.26895638,5.84413312
228,5.288384892,5.84379392
229,5.307779428,5.84350528
230,5.327238153,5.84287168
231,5.346767767,5.842304
232,5.366226363,5.84291328
233,5.385783427,5.84101824
234,5.405230782,5.83993408
235,5.424793587,5.8409344
236,5.444499992,5.84115392
237,5.464131537,5.84159232
238,5.483857648,5.84073024
239,5.503715887,5.840544
240,5.523364831,5.84067008
241,5.543129629,5.84018624
242,5.562934121,5.83870272
243,5.582562175,5.83792512
244,5.602425478,5.8383904
245,5.622107891,5.83858304
246,5.641833476,5.83922816
247,5.661546681,5.84026432
248,5.681342828,5.83908416
249,5.700877459,5.83861888
250,5.720405714,5.83845056
251,5.739881957,5.83811712
252,5.759325052,5.83778752
253,5.778887422,5.83851072
254,5.798489756,5.83810496
255,5.818215481,5.83609536
256,5.838170875,5.8372608
257,5.858001175,5.8364896
258,5.877560818,5.83721856
259,5.897084725,5.83800896
260,5.916689767,5.83685888
261,5.936153137,5.8369248
262,5.955757862,5.83723712
263,5.975772805,5.83723712
264,5.995705822,5.8356512
265,6.015537233,5.83446784
266,6.035415959,5.83490304
267,6.05529643,5.83639296
268,6.075288957,5.8356992
269,6.095006058,5.83709888
270,6.114748209,5.83559104
271,6.134344368,5.83432448
272,6.28044918,5.83391744
273,6.300204101,5.83554944
274,6.319862511,5.83356224
275,6.33964779,5.8350656
276,6.359392571,5.83458176
277,6.379301601,5.83419776
278,6.399141046,5.83411392
279,6.418876878,5.83396544
280,6.43860597,5.8343296
281,6.458214007,5.833376
282,6.477811763,5.83440704
283,6.497509276,5.83277376
284,6.517098477,5.8336768
285,6.536723096,5.83283392
286,6.556331476,5.832912
287,6.576031119,5.8332768
288,6.595747901,5.83115008
289,6.615335801,5.83205696
290,6.634855465,5.83150272
291,6.654347144,5.83239168
292,6.673850461,5.83202752
293,6.693495323,5.8334784
294,6.713143664,5.83308416
295,6.732694457,5.83165696
296,6.752236516,5.83178816
297,6.77189367,5.83234496
298,6.791475948,5.83189696
299,6.810893785,5.83142464
300,6.830554698,5.83211136
301,6.850121184,5.83088768
302,6.869864315,5.83077376
303,6.889450282,5.83079808
304,6.909269262,5.83061696
305,6.929068732,5.83086976
306,6.948546752,5.83113216
307,6.96835089,5.83111488
308,6.988054288,5.83105984
309,7.007921135,5.83064704
310,7.027763716,5.83044544
311,7.04760034,5.83082752
312,7.067158865,5.83067136
313,7.086817847,5.83071936
314,7.106299351,5.83078016
315,7.12610581,5.83046336
316,7.145820011,5.82950656
317,7.165422578,5.8283424
318,7.184978955,5.8293568
319,7.204493942,5.82785088
320,7.223990316,5.82758848
321,7.55527552,5.82767872
322,7.574883409,5.82607872
323,7.594398665,5.82620288
324,7.61396634,5.8255648
325,7.633615976,5.82586304
326,7.653341342,5.8259712
327,7.672939667,5.82644352
328,7.692534255,5.8265728
329,7.712192942,5.82583872
330,7.731650769,5.82648256
331,7.751288012,5.82613696
332,7.771011477,5.82715776
333,7.790769871,5.82755904
334,7.810640342,5.8255648
335,7.830508782,5.82592256
336,7.850229714,5.82575104
337,7.870021543,5.82428736
338,7.889912539,5.8246752
339,7.909831588,5.82485952
340,7.929499345,5.824848
341,7.949039046,5.824192
342,7.96857589,5.82439232
343,7.988069068,5.82466368
344,8.007616753,5.82389824
