,Time,Resistance
unit,second,ohm
0,0.0,4.74009888
1,0.145232951,4.736128
2,0.165124466,4.73270592
3,0.184865376,4.7277904
4,0.204579951,4.71960128
5,0.224155697,4.71300224
6,0.243829212,4.72032928
7,0.263493157,4.72311872
8,0.283172218,4.71984736
9,0.30280961,4.72178112
10,0.322493379,4.7141008
11,0.342049454,4.70557216
12,0.361696238,4.70450912
13,0.381463309,4.71631712
14,0.401195112,4.7266064
15,0.420835346,4.7328896
16,0.440530595,4.73483232
17,0.460204756,4.72177568
18,0.479810619,4.73528608
19,0.499536184,4.71193888
20,0.519254719,4.701064
21,0.539016012,4.69268608
22,0.558707952,4.6943408
23,0.57840026,4.6975104
24,0.597993495,4.67667488
25,0.617761512,4.68692064
26,0.637574498,4.67308512
27,0.657271727,4.65525536
28,0.676834459,4.64819712
29,0.696370729,4.65646944
30,0.715758332,4.65529728
31,0.735201618,4.65236032
32,0.754746243,4.6607648
33,0.774210293,4.67008384
34,0.793670275,4.67248736
35,0.813163797,4.66718336
36,0.832760481,4.66598752
37,0.852242432,4.65850208
38,0.871841268,4.66053664
39,0.891448205,4.65804896
40,0.910963756,4.65836704
41,0.930532097,4.66436576
42,0.950164979,4.67028224
43,0.969819283,4.66131968
44,0.989485663,4.65904896
45,1.009136876,4.651744
46,1.028906774,4.64027968
47,1.174888357,4.63536832
48,1.194553528,4.62918368
49,1.214180294,4.6262704
50,1.233796878,4.6227776
51,1.253539489,4.61966752
52,1.273163296,4.61573824
53,1.292673932,4.61253056
54,1.312100806,4.60721408
55,1.331839572,4.60400064
56,1.351442859,4.6012192
57,1.371048891,4.60261312
58,1.390655423,4.60381088
59,1.410336625,4.60339648
60,1.430060467,4.6053248
61,1.449677867,4.60522208
62,1.469479067,4.60598816
63,1.48926129,4.60750624
64,1.509014692,4.60559232
65,1.528758469,4.60670048
66,1.548757861,4.6072864
67,1.568854479,4.6103104
68,1.588592655,4.60778816
69,1.608403587,4.60998336
70,1.628257286,4.60784832
71,1.648233541,4.60564032
72,1.667965887,4.60302112
73,1.687920888,4.60157344
74,1.707766781,4.60180192
75,1.727588049,4.60802208
76,1.747431915,4.61381856
77,1.767085544,4.61561248
78,1.786779869,4.61096576
79,1.806479528,4.60827776
80,1.826284462,4.60747776
81,1.846039839,4.61175872
82,1.86574908,4.63635968
83,1.885396553,4.6362224
84,1.905050306,4.62928384
85,1.924790845,4.62131936
86,1.944535563,4.6185616
87,1.964124655,4.61684384
88,1.983834836,4.63973344
89,2.003441801,4.73476128
90,2.022980261,4.73632
91,2.042692442,4.7177392
92,2.062354953,4.69836512
93,2.082232415,4.68146272
94,2.101875001,4.67445184
95,2.121541632,4.63611136
96,2.452965775,4.63538176
97,2.472828499,4.63563392
98,2.492711493,4.6359984
99,2.512455696,4.63497024
100,2.532176817,4.63456384
101,2.5519537,4.63495776
102,2.571915262,4.63405376
103,2.591777689,4.63426976
104,2.611685448,4.63356448
105,2.631536077,4.63285312
106,2.651569451,4.63263648
107,2.671270692,4.63097536
108,2.690987483,4.63031136
109,2.710712053,4.63064512
110,2.730267106,4.63139872
111,2.749919718,4.63143488
112,2.769602633,4.63136896
113,2.789201393,4.63200288
114,2.808792557,4.62907776
115,2.828650062,4.62786912
116,2.848226691,4.62527456
117,2.867934348,4.62525664
118,2.88766408,4.62568032
119,2.907240581,4.62723584
120,2.927104629,4.626248
121,2.946960756,4.62532288
122,2.966750695,4.62429856
123,2.986408819,4.62387456
124,3.006250978,4.62238464
