,Time,Resistance
unit,second,ohm
0,0.0,4.67427296
1,0.019558594,4.59988128
2,0.039201759,4.58934752
3,0.058855564,4.57499552
4,0.078488129,4.56218816
5,0.098171786,4.5421792
6,0.117950085,4.54322528
7,0.137801218,4.534768
8,0.157618081,4.534768
9,0.177315625,4.53405728
10,0.197103756,4.5325936
11,0.217086161,4.53188288
12,0.237096479,4.53121984
13,0.257022146,4.53230048
14,0.276737031,4.53992704
15,0.296474788,4.55179968
16,0.316144133,4.55338336
17,0.33585573,4.5630192
18,0.355543155,4.57065856
19,0.375236336,4.58277792
20,0.394950786,4.59812704
21,0.414692244,4.62683808
22,0.43458069,4.66954752
23,0.45448748,4.65741824
24,0.474245627,4.66565472
25,0.494028245,4.66859872
26,0.513975208,4.6718336
27,0.533874494,4.68871648
28,0.55363188,4.68927488
29,0.573655119,4.6872448
30,0.593465987,4.67403456
31,0.613278767,4.68904672
32,0.633071496,4.69645696
33,0.652989728,4.70582144
34,0.673009022,4.69096864
35,0.692922347,4.68837728
36,0.712571575,4.66578048
37,0.732234241,4.68402656
38,0.752023423,4.6939248
39,0.897626174,4.68855712
40,0.917416775,4.69108192
41,0.937107552,4.68424832
42,0.956954703,4.67530208
43,0.976605574,4.673592
44,0.996310457,4.67975296
45,1.016017476,4.6862064
46,1.035572571,4.6848928
47,1.055262487,4.6808368
48,1.074841017,4.67717504
49,1.094481983,4.67452992
50,1.113975199,4.67466272
51,1.133859693,4.66797536
52,1.153739153,4.66097728
53,1.173760872,4.66222048
54,1.193492321,4.664584
55,1.213077668,4.66354272
56,1.232770059,4.65833152
57,1.252462125,4.65530592
58,1.272144534,4.65396032
59,1.291706295,4.65329088
60,1.311281703,4.65035904
61,1.330896011,4.64722336
62,1.350525184,4.644904
63,1.370190127,4.64331232
64,1.389748501,4.63956736
65,1.409340358,4.6360496
66,1.428973587,4.63534912
67,1.44860698,4.631976
68,1.468472,4.6319584
69,1.488191679,4.62950752
70,1.507986766,4.62738368
71,1.527733088,4.62842944
72,1.547280912,4.6299728
73,1.566860908,4.63021888
74,1.586612582,4.62974496
75,1.606250171,4.62906304
76,1.625923427,4.6289392
77,1.645521925,4.6305408
78,1.66514106,4.63043296
79,1.684697875,4.63453824
80,1.704337137,4.63767136
81,1.723889309,4.6433664
82,1.743598314,4.6435472
83,1.763297416,4.64276224
84,1.783007387,4.64130304
85,1.802693712,4.64097248
86,1.822552979,4.64123104
87,1.842311901,4.6391312
88,1.98781091,4.63724192
89,2.007598169,4.6346736
90,2.02725953,4.63375424
91,2.047019089,4.63122272
92,2.066694761,4.63136672
93,2.086338163,4.63007552
94,2.106020109,4.62878336
95,2.125614293,4.62753344
96,2.14549784,4.6276752
97,2.165271011,4.62537376
98,2.18504267,4.62500768
99,2.204879966,4.62493568
100,2.224711702,4.62392032
101,2.244435468,4.62353088
102,2.264136124,4.62379392
103,2.283877219,4.62285408
104,2.30357757,4.62242976
105,2.323234121,4.62294432
