,Time,Resistance
unit,second,ohm
0,0.0,4.93648384
1,0.019748821,4.95784512
2,0.039180027,4.94217728
3,0.058805464,4.92815104
4,0.07833559,4.933536
5,0.09788638,4.91947712
6,0.117501948,4.92239008
7,0.137152027,4.92139872
8,0.156787347,4.9278928
9,0.176432079,4.93047296
10,0.196156838,4.92560992
11,0.215887696,4.92692
12,0.235598786,4.92675776
13,0.2550711,4.92578176
14,0.274561779,4.92614848
15,0.294072707,4.9258896
16,0.313716692,4.92642752
17,0.333276257,4.92557344
18,0.352765087,4.92430976
19,0.372371,4.92486752
20,0.392046752,4.92482048
21,0.411641321,4.92404832
22,0.431073885,4.92450816
23,0.450682814,4.92408416
24,0.470307207,4.92515936
25,0.490028823,4.92448416
26,0.509705321,4.92626176
27,0.654453435,4.92607584
28,0.67412184,4.9261664
29,0.693804362,4.92531072
30,0.713342758,4.92593824
31,0.732900912,4.9255504
32,0.752664257,4.92504032
33,0.772284235,4.92588384
34,0.79192747,4.924736
35,0.811652377,4.92546592
36,0.83148332,4.92565216
37,0.851199317,4.92466976
38,0.870887291,4.92541216
39,0.890591663,4.92567008
40,0.910234174,4.92477216
41,0.929930716,4.92633376
42,0.949362938,4.92483808
43,0.969220402,4.924808
44,0.989000852,4.92391648
45,1.008710455,4.92558624
46,1.028448909,4.92734912
47,1.048195555,4.92848768
48,1.067699452,4.92923264
49,1.087271675,4.92858112
50,1.107017122,4.92820512
51,1.126625356,4.9280672
52,1.14632588,4.92767392
53,1.165980609,4.92813344
54,1.185504632,4.92754176
55,1.205068567,4.9273552
56,1.224666288,4.92694368
57,1.244230554,4.9276256
58,1.263792897,4.9284096
59,1.283509114,4.92812736
60,1.303545271,4.92757184
61,1.323283232,4.92767968
62,1.342980944,4.92742144
63,1.362524984,4.92710912
64,1.382040673,4.92746912
65,1.401648884,4.9272176
66,1.42167592,4.92775808
67,1.441472436,4.92772768
68,1.461009071,4.926824
69,1.480746906,4.92761376
70,1.500366019,4.92797088
71,1.519910976,4.92753504
72,1.5395927,4.92754176
73,1.559342135,4.92788128
74,1.578925189,4.92678784
75,1.598420269,4.92638208
76,1.617882267,4.92599776
77,1.950231004,4.92590144
78,1.970016411,4.92590144
79,1.989762718,4.92584768
80,2.009341898,4.92514816
81,2.028922119,4.92575776
82,2.048394008,4.92486272
83,2.067906194,4.92480864
84,2.087504679,4.92529216
85,2.107321698,4.92567968
86,2.12710529,4.923808
87,2.146963164,4.92493216
88,2.166586284,4.92560768
89,2.186282109,4.92409024
90,2.205877978,4.92492
91,2.225473237,4.92537632
92,2.245114891,4.9246224
93,2.26459985,4.92641536
94,2.284143772,4.9281216
95,2.303579613,4.92588384
96,2.323227766,4.92609408
97,2.342744339,4.92648128
98,2.362451391,4.92529856
99,2.382157627,4.92574592
100,2.401927835,4.926016
101,2.421892602,4.9250704
102,2.441578463,4.92545408
103,2.461533228,4.92541216
104,2.481329135,4.92411424
105,2.501097227,4.9247008
106,2.520812856,4.92434592
107,2.540525297,4.9265536
108,2.560048169,4.92357408
109,2.579575483,4.92641536
110,2.599161637,4.92473088
111,2.618668882,4.92579424
112,2.638324531,4.92381376
113,2.657872387,4.92611168
114,2.677568184,4.93013728
115,2.697345929,4.92901984
116,2.71708783,4.92660992
117,2.863090167,4.92718304
118,2.882672969,4.9267664
119,2.902325095,4.92686208
120,2.922183593,4.92753184
121,2.941881036,4.92686784
122,2.961679536,4.92721984
123,2.98140903,4.92633376
124,3.001159377,4.92585024
125,3.020806296,4.92670016
126,3.040467136,4.92658048
127,3.060154421,4.925952
128,3.079821241,4.92664
129,3.099320732,4.92680832
130,3.118835589,4.92521632
131,3.138370957,4.92623744
132,3.157792367,4.9248976
133,3.177563898,4.92597632
134,3.197277317,4.92591008
135,3.216899047,4.92618048
136,3.236419726,4.92621952
137,3.256005283,4.92581408
138,3.275686538,4.9254736
139,3.295505277,4.92561568
140,3.314976112,4.92682592
141,3.334667923,4.92601824
142,3.35461929,4.92658048
143,3.37427514,4.9265504
144,3.393881268,4.92589792
145,3.413401455,4.92618048
146,3.432890319,4.9265504
147,3.45256923,4.92685024
148,3.472091256,4.92625568
149,3.491702897,4.92565216
150,3.511309258,4.9260784
151,3.530738523,4.92616224
152,3.550241995,4.92548608
153,3.569696685,4.92609632
154,3.58934532,4.92568192
155,3.608861482,4.924808
156,3.628441919,4.92463008
157,3.648061563,4.92543168
158,3.667679229,4.92558624
159,3.687369496,4.92471456
160,3.70689266,4.92572416
161,3.726572814,4.92687424
162,3.746093408,4.92469632
163,3.765499977,4.92570624
164,3.785036206,4.92544416
165,3.804633657,4.92505184
166,3.950006723,4.92588992
167,3.969794505,4.924616
168,3.989624061,4.92554944
169,4.009411062,4.92612416
170,4.029060841,4.92478368
171,4.048594619,4.92578784
172,4.068350139,4.92542944
173,4.087795408,4.925592
174,4.107411571,4.925592
175,4.127076255,4.92567008
176,4.146682719,4.92541184
177,4.166183546,4.9260096
178,4.185710348,4.92481408
179,4.20539672,4.92462784
180,4.224948277,4.92453248
181,4.244666314,4.92614848
182,4.264277956,4.92631584
183,4.283771707,4.92553792
184,4.303233813,4.92506368
185,4.322880614,4.92494048
186,4.342440973,4.9251776
187,4.362158859,4.92569344
188,4.381694635,4.92486816
189,4.401184999,4.9250752
190,4.420875026,4.92505184
191,4.44042609,4.92890496
192,4.460049605,4.93228992
193,4.479667958,4.93184896
194,4.499382086,4.93221184
