,Time,Resistance
unit,second,ohm
0,0.0,1.92889088
1,0.01957409,1.93638768
2,0.039224831,1.91594304
3,0.058903082,1.92172544
4,0.078882858,1.90366288
5,0.098567932,1.89821072
6,0.118208281,1.89539136
7,0.137762372,1.89508192
8,0.157478929,1.89228176
9,0.177140421,1.89186992
10,0.197000274,1.89255088
11,0.216758747,1.89345744
12,0.236327649,1.89246672
13,0.256112248,1.89055744
14,0.27594139,1.89025136
15,0.29572473,1.88769104
16,0.315502234,1.88692976
17,0.335123122,1.8875624
18,0.354815108,1.88775104
19,0.374653108,1.88622496
20,0.39443925,1.88615296
21,0.41428475,1.88782896
22,0.433943234,1.88667776
23,0.453823375,1.88652768
24,0.47346629,1.8858408
25,0.493198349,1.88591904
26,0.512896712,1.88525632
27,0.658394387,1.88576496
28,0.677939017,1.88482048
29,0.697427602,1.88404368
30,0.717117362,1.88410352
31,0.736746892,1.88433168
32,0.756358206,1.8834168
33,0.775957503,1.88435552
34,0.795673367,1.8836688
35,0.81532479,1.88327264
36,0.835091441,1.8837504
37,0.85480549,1.88283728
38,0.874657061,1.88407344
39,0.894322618,1.88367504
40,0.914128884,1.88318896
41,0.933828107,1.88296672
42,0.953416645,1.88357872
43,0.973266897,1.88374688
44,0.993000178,1.88365072
45,1.012871182,1.8834648
46,1.032535475,1.88363888
47,1.052212244,1.88242288
48,1.071671121,1.88311072
49,1.091261249,1.88224288
50,1.110687041,1.88227888
51,1.130255698,1.88255504
52,1.149773126,1.88266272
53,1.169256553,1.88232688
54,1.188780192,1.88283104
55,1.208329657,1.88321248
56,1.22803852,1.88260288
57,1.247859601,1.8834888
58,1.267526615,1.88167472
59,1.287170895,1.88248896
60,1.3068774,1.88265104
61,1.326613125,1.88294496
62,1.346332015,1.8812928
63,1.366060212,1.88280096
64,1.385716424,1.88180656
65,1.405314696,1.88107088
66,1.424948974,1.88219488
67,1.444477109,1.88132288
68,1.464356493,1.8812808
69,1.483902659,1.8826392
70,1.503315061,1.88287296
71,1.522858281,1.8822608
72,1.542603017,1.88154272
73,1.562524052,1.88195056
74,1.582314054,1.88116096
75,1.602122014,1.88015536
76,1.749705881,1.8827352
77,1.769412556,1.88168064
78,1.789204678,1.88028112
79,1.808965877,1.88124512
80,1.828714912,1.87996928
81,1.848428378,1.88104704
82,1.868397029,1.88015536
83,1.888092668,1.88168672
84,1.907895266,1.87989104
85,1.927703978,1.88079504
86,1.947404876,1.88071696
87,1.967125837,1.88015536
88,1.986791817,1.88022736
89,2.006570536,1.88067504
90,2.026355651,1.8813808
91,2.046206416,1.88042512
92,2.066012409,1.87978304
93,2.085757713,1.88018512
94,2.105669449,1.88107696
95,2.125444003,1.88128736
96,2.145169583,1.8805968
97,2.164877027,1.87967744
98,2.184561414,1.88036528
99,2.204177537,1.8807592
100,2.223913163,1.88055488
101,2.243845473,1.8800712
102,2.26356673,1.8811312
103,2.283159359,1.88041328
104,2.302856651,1.87957552
105,2.322521127,1.87990304
106,2.342187722,1.88031152
107,2.361753954,1.87973728
108,2.381567376,1.88073488
109,2.401262753,1.88005328
110,2.420951793,1.87992704
111,2.44058406,1.88054288
112,2.460337201,1.88001136
113,2.480038487,1.88069296
114,2.499691933,1.88020912
115,2.519356703,1.8799152
116,2.538960863,1.87927552
117,2.558566021,1.87974352
118,2.578384011,1.87958736
119,2.598262412,1.88011952
120,2.618017923,1.88020304
121,2.637685838,1.8798672
122,2.657280426,1.88001136
123,2.676949885,1.87941952
124,2.696531663,1.88014928
125,2.716120238,1.8800912
126,3.047886416,1.87997744
127,3.0676868,1.88147328
128,3.087339763,1.8793856
129,3.10710033,1.87970736
130,3.126734506,1.88001936
131,3.146545459,1.87959552
132,3.166317587,1.87991136
133,3.186128923,1.88064688
134,3.205905449,1.87943376
135,3.225706059,1.87954784
136,3.245355803,1.87980928
137,3.265150359,1.88031936
138,3.284890795,1.88048528
139,3.304532758,1.88033152
140,3.324229671,1.87982752
141,3.343921377,1.88025952
142,3.363722409,1.87953568
143,3.383342237,1.88086928
144,3.403149998,1.87930752
145,3.422987429,1.88012768
146,3.442794677,1.8796016
147,3.462691072,1.87985136
148,3.482390564,1.88004352
149,3.502030997,1.87931344
150,3.5217879,1.87986944
151,3.541516337,1.88065904
152,3.561320702,1.87900752
153,3.58096645,1.88026544
154,3.600672143,1.87947584
155,3.620236705,1.88027168
156,3.640104562,1.87958384
157,3.659818765,1.87984528
158,3.67962357,1.87901968
159,3.699317537,1.88028336
160,3.718965684,1.87897744
161,3.738716071,1.87965344
162,3.758516355,1.87931344
163,3.778322671,1.87972544
164,3.797950865,1.8802296
165,3.817674056,1.87994624
166,3.964182438,1.88013232
167,3.983880478,1.87957072
168,4.003563412,1.87921664
169,4.023345102,1.87940848
170,4.043015539,1.87933088
171,4.062699741,1.8794448
172,4.082210939,1.87980224
173,4.101928668,1.87902688
174,4.121781587,1.87912672
175,4.141542176,1.87977232
176,4.161402065,1.87962464
177,4.181315714,1.87811712
178,4.201215385,1.87898496
179,4.221136193,1.87970848
180,4.241227161,1.87875104
181,4.26124035,1.8801624
182,4.281314657,1.87946864
183,4.300970884,1.87943856
184,4.320705601,1.87969664
185,4.340495278,1.88011456
186,4.360269321,1.87996448
187,4.380124666,1.87967872
188,4.399807053,1.87898496
189,4.419475273,1.8793544
190,4.439239377,1.87973872
191,4.459069384,1.87950464
192,4.478905977,1.88002464
193,4.49860934,1.87919248
194,4.518596629,1.87914464
195,4.538568229,1.87961296
196,4.558474598,1.87939664
197,4.578555597,1.8797784
198,4.598539689,1.87866688
199,4.618190066,1.87940256
200,4.637936898,1.8802704
201,4.657742441,1.87899104
202,4.677593033,1.87912672
203,4.697363326,1.88013232
204,4.717071385,1.87926448
205,4.736788247,1.87945664
206,4.756491488,1.87958256
207,4.776322007,1.87970848
208,4.796116603,1.87852288
209,4.815644015,1.87926448
210,4.835154277,1.87955856
211,4.854722215,1.87888912
212,4.874151732,1.87904848
